Deportista: deportista_697, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Argentina, intento 3  Peor marca: 7188.0 en Torneo de Bulgaria, intento 7
Deportista: deportista_511, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Virgin Islands (British), intento 2  Peor marca: 237.0 en Torneo de Canada, intento 8
Deportista: deportista_184, Especialidad: carrera 5000 m,   Mejor marca: 772098.0 en Torneo de Australia, intento 1  Peor marca: 849167.0 en Torneo de Panama, intento 1
Deportista: deportista_762, Especialidad: lanzamiento de martillo,   Mejor marca: 8990.0 en Torneo de Bahamas, intento 1  Peor marca: 8180.0 en Torneo de China, intento 6
Deportista: deportista_668, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Oman, intento 5  Peor marca: 2293.0 en Torneo de Slovenia, intento 9
Deportista: deportista_229, Especialidad: carrera 10000 m,   Mejor marca: 1608326.0 en Torneo de Liberia, intento 1  Peor marca: 1768785.0 en Torneo de Lebanon, intento 1
Deportista: deportista_362, Especialidad: carrera 42000 m,   Mejor marca: 7307905.0 en Torneo de Slovakia, intento 1  Peor marca: 8024238.0 en Torneo de Myanmar, intento 1
Deportista: deportista_368, Especialidad: carrera 110 m con vallas,   Mejor marca: 12113.0 en Torneo de Cuba, intento 1  Peor marca: 13308.0 en Torneo de Mauritius, intento 1
Deportista: deportista_348, Especialidad: carrera 42000 m,   Mejor marca: 7303410.0 en Torneo de Sierra Leone, intento 1  Peor marca: 8026576.0 en Torneo de Cambodia, intento 1
Deportista: deportista_433, Especialidad: carrera 400 m con vallas,   Mejor marca: 46101.0 en Torneo de Georgia, intento 1  Peor marca: 50656.0 en Torneo de Benin, intento 1
Deportista: deportista_407, Especialidad: carrera 400 m con vallas,   Mejor marca: 46094.0 en Torneo de Timor-Leste, intento 1  Peor marca: 50689.0 en Torneo de Bahrain, intento 1
Deportista: deportista_140, Especialidad: carrera 1500 m,   Mejor marca: 208842.0 en Torneo de Mongolia, intento 1  Peor marca: 229580.0 en Torneo de Armenia, intento 1
Deportista: deportista_43, Especialidad: carrera 400 m,   Mejor marca: 43463.0 en Torneo de Ghana, intento 1  Peor marca: 47737.0 en Torneo de Guinea-Bissau, intento 1
Deportista: deportista_610, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Sweden, intento 4  Peor marca: 1814.0 en Torneo de Turkey, intento 3
Deportista: deportista_61, Especialidad: carrera 400 m,   Mejor marca: 43457.0 en Torneo de South Korea, intento 1  Peor marca: 47771.0 en Torneo de Trinidad and Tobago, intento 1
Deportista: deportista_493, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Ukraine, intento 8  Peor marca: 237.0 en Torneo de Bahamas, intento 8
Deportista: deportista_149, Especialidad: carrera 800 m,   Mejor marca: 101893.0 en Torneo de Malaysia, intento 1  Peor marca: 112038.0 en Torneo de Bahamas, intento 1
Deportista: deportista_165, Especialidad: carrera 1500 m,   Mejor marca: 208949.0 en Torneo de Jamaica, intento 1  Peor marca: 229578.0 en Torneo de Finland, intento 1
Deportista: deportista_134, Especialidad: carrera 800 m,   Mejor marca: 101895.0 en Torneo de Germany, intento 1  Peor marca: 111997.0 en Torneo de Poland, intento 1
Deportista: deportista_22, Especialidad: carrera 200 m,   Mejor marca: 19500.0 en Torneo de Grenada, intento 1  Peor marca: 21444.0 en Torneo de Luxembourg, intento 1
Deportista: deportista_212, Especialidad: carrera 5000 m,   Mejor marca: 772524.0 en Torneo de Kosovo, intento 1  Peor marca: 847578.0 en Torneo de Fiji, intento 1
Deportista: deportista_278, Especialidad: carrera 10000 m,   Mejor marca: 1608920.0 en Torneo de Pakistan, intento 1  Peor marca: 1767881.0 en Torneo de Panama, intento 1
Deportista: deportista_399, Especialidad: carrera 110 m con vallas,   Mejor marca: 12098.0 en Torneo de Tunisia, intento 1  Peor marca: 13301.0 en Torneo de Uzbekistan, intento 1
Deportista: deportista_61, Especialidad: carrera 200 m,   Mejor marca: 19504.0 en Torneo de Luxembourg, intento 1  Peor marca: 21443.0 en Torneo de Malawi, intento 1
Deportista: deportista_589, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Sierra Leone, intento 8  Peor marca: 870.0 en Torneo de Bahamas, intento 2
Deportista: deportista_360, Especialidad: carrera 42000 m,   Mejor marca: 7313756.0 en Torneo de Luxembourg, intento 1  Peor marca: 8024020.0 en Torneo de Singapore, intento 1
Deportista: deportista_269, Especialidad: carrera 10000 m,   Mejor marca: 1608408.0 en Torneo de Mexico, intento 1  Peor marca: 1767554.0 en Torneo de New Zealand, intento 1
Deportista: deportista_322, Especialidad: carrera 21000 m,   Mejor marca: 3482593.0 en Torneo de Puerto Rico, intento 1  Peor marca: 3826947.0 en Torneo de Scotland, intento 1
Deportista: deportista_439, Especialidad: carrera 400 m con vallas,   Mejor marca: 46153.0 en Torneo de Ivory Coast, intento 1  Peor marca: 50617.0 en Torneo de Zambia, intento 1
Deportista: deportista_201, Especialidad: carrera 1500 m,   Mejor marca: 208772.0 en Torneo de Oman, intento 1  Peor marca: 229624.0 en Torneo de Equatorial Guinea, intento 1
Deportista: deportista_206, Especialidad: carrera 5000 m,   Mejor marca: 772664.0 en Torneo de Honduras, intento 1  Peor marca: 848703.0 en Torneo de Sweden, intento 1
Deportista: deportista_94, Especialidad: carrera 400 m,   Mejor marca: 43476.0 en Torneo de Burkina Faso, intento 1  Peor marca: 47760.0 en Torneo de Malaysia, intento 1
Deportista: deportista_673, Especialidad: lanzamiento de bala,   Mejor marca: 2519.0 en Torneo de Egypt, intento 10  Peor marca: 2292.0 en Torneo de Micronesia, intento 6
Deportista: deportista_216, Especialidad: carrera 10000 m,   Mejor marca: 1608123.0 en Torneo de Seychelles, intento 1  Peor marca: 1768131.0 en Torneo de United States, intento 1
Deportista: deportista_316, Especialidad: carrera 42000 m,   Mejor marca: 7310801.0 en Torneo de Zimbabwe, intento 1  Peor marca: 8030831.0 en Torneo de Haiti, intento 1
Deportista: deportista_650, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Jamaica, intento 2  Peor marca: 2293.0 en Torneo de Myanmar, intento 3
Deportista: deportista_249, Especialidad: carrera 10000 m,   Mejor marca: 1609354.0 en Torneo de Argentina, intento 1  Peor marca: 1768375.0 en Torneo de Monaco, intento 1
Deportista: deportista_499, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Scotland, intento 2  Peor marca: 237.0 en Torneo de Bahrain, intento 8
Deportista: deportista_393, Especialidad: carrera 110 m con vallas,   Mejor marca: 12109.0 en Torneo de Iraq, intento 1  Peor marca: 13293.0 en Torneo de Afghanistan, intento 1
Deportista: deportista_442, Especialidad: carrera 400 m con vallas,   Mejor marca: 46117.0 en Torneo de Malawi, intento 1  Peor marca: 50694.0 en Torneo de Philippines, intento 1
Deportista: deportista_776, Especialidad: lanzamiento de jabalina,   Mejor marca: 9965.0 en Torneo de India, intento 8  Peor marca: 9071.0 en Torneo de Trinidad and Tobago, intento 8
Deportista: deportista_662, Especialidad: lanzamiento de bala,   Mejor marca: 2516.0 en Torneo de Nauru, intento 1  Peor marca: 2291.0 en Torneo de Kiribati, intento 9
Deportista: deportista_34, Especialidad: carrera 100 m,   Mejor marca: 9760.0 en Torneo de Namibia, intento 1  Peor marca: 10736.0 en Torneo de Haiti, intento 1
Deportista: deportista_233, Especialidad: carrera 5000 m,   Mejor marca: 772169.0 en Torneo de Germany, intento 1  Peor marca: 848869.0 en Torneo de Cuba, intento 1
Deportista: deportista_628, Especialidad: salto triple,   Mejor marca: 1994.0 en Torneo de Ukraine, intento 1  Peor marca: 1816.0 en Torneo de Benin, intento 5
Deportista: deportista_365, Especialidad: carrera 110 m con vallas,   Mejor marca: 12105.0 en Torneo de Georgia, intento 1  Peor marca: 13283.0 en Torneo de Malta, intento 1
Deportista: deportista_475, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481045.0 en Torneo de Barbados, intento 1  Peor marca: 528968.0 en Torneo de Congo Republic of the, intento 1
Deportista: deportista_699, Especialidad: lanzamiento de disco,   Mejor marca: 7898.0 en Torneo de Iraq, intento 1  Peor marca: 7188.0 en Torneo de Bolivia, intento 4
Deportista: deportista_470, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481060.0 en Torneo de Ecuador, intento 1  Peor marca: 528623.0 en Torneo de Guyana, intento 1
Deportista: deportista_555, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Zambia, intento 7  Peor marca: 606.0 en Torneo de Ghana, intento 2
Deportista: deportista_166, Especialidad: carrera 1500 m,   Mejor marca: 208813.0 en Torneo de Sierra Leone, intento 1  Peor marca: 229579.0 en Torneo de Suriname, intento 1
Deportista: deportista_107, Especialidad: carrera 400 m,   Mejor marca: 43501.0 en Torneo de Sweden, intento 1  Peor marca: 47762.0 en Torneo de Gambia, intento 1
Deportista: deportista_253, Especialidad: carrera 10000 m,   Mejor marca: 1609982.0 en Torneo de Montenegro, intento 1  Peor marca: 1768566.0 en Torneo de Vatican City, intento 1
Deportista: deportista_10, Especialidad: carrera 100 m,   Mejor marca: 9761.0 en Torneo de United States, intento 1  Peor marca: 10733.0 en Torneo de Virgin Islands (British), intento 1
Deportista: deportista_195, Especialidad: carrera 5000 m,   Mejor marca: 772460.0 en Torneo de Cameroon, intento 1  Peor marca: 849050.0 en Torneo de Congo Democratic Republic of the, intento 1
Deportista: deportista_514, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Yemen, intento 1  Peor marca: 237.0 en Torneo de Bangladesh, intento 9
Deportista: deportista_142, Especialidad: carrera 800 m,   Mejor marca: 101929.0 en Torneo de Lesotho, intento 1  Peor marca: 112052.0 en Torneo de Cyprus, intento 1
Deportista: deportista_345, Especialidad: carrera 42000 m,   Mejor marca: 7306906.0 en Torneo de Albania, intento 1  Peor marca: 8027660.0 en Torneo de Senegal, intento 1
Deportista: deportista_25, Especialidad: carrera 200 m,   Mejor marca: 19501.0 en Torneo de Sudan, intento 1  Peor marca: 21420.0 en Torneo de Mauritius, intento 1
Deportista: deportista_654, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Benin, intento 6  Peor marca: 2292.0 en Torneo de Monaco, intento 5
Deportista: deportista_550, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Papua New Guinea, intento 3  Peor marca: 606.0 en Torneo de Kosovo, intento 4
Deportista: deportista_229, Especialidad: carrera 5000 m,   Mejor marca: 772303.0 en Torneo de Algeria, intento 1  Peor marca: 849287.0 en Torneo de Australia, intento 1
Deportista: deportista_97, Especialidad: carrera 400 m,   Mejor marca: 43500.0 en Torneo de Dominican Republic, intento 1  Peor marca: 47724.0 en Torneo de Papua New Guinea, intento 1
Deportista: deportista_429, Especialidad: carrera 400 m con vallas,   Mejor marca: 46143.0 en Torneo de Tajikistan, intento 1  Peor marca: 50701.0 en Torneo de Syria, intento 1
Deportista: deportista_666, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Bahrain, intento 5  Peor marca: 2291.0 en Torneo de Kazakhstan, intento 5
Deportista: deportista_596, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Panama, intento 3  Peor marca: 869.0 en Torneo de Algeria, intento 8
Deportista: deportista_744, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de Australia, intento 10  Peor marca: 8174.0 en Torneo de Liechtenstein, intento 5
Deportista: deportista_29, Especialidad: carrera 100 m,   Mejor marca: 9764.0 en Torneo de Northern Ireland, intento 1  Peor marca: 10732.0 en Torneo de Iraq, intento 1
Deportista: deportista_509, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Denmark, intento 8  Peor marca: 237.0 en Torneo de Cambodia, intento 9
Deportista: deportista_602, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Palau, intento 8  Peor marca: 869.0 en Torneo de Thailand, intento 2
Deportista: deportista_89, Especialidad: carrera 400 m,   Mejor marca: 43494.0 en Torneo de South Africa, intento 1  Peor marca: 47772.0 en Torneo de Singapore, intento 1
Deportista: deportista_268, Especialidad: carrera 10000 m,   Mejor marca: 1608528.0 en Torneo de Israel, intento 1  Peor marca: 1768742.0 en Torneo de Gabon, intento 1
Deportista: deportista_521, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Saint Vincent and the Grenadines, intento 1  Peor marca: 237.0 en Torneo de Bahrain, intento 8
Deportista: deportista_118, Especialidad: carrera 400 m,   Mejor marca: 43451.0 en Torneo de Iraq, intento 1  Peor marca: 47791.0 en Torneo de Cyprus, intento 1
Deportista: deportista_356, Especialidad: carrera 42000 m,   Mejor marca: 7302147.0 en Torneo de Tanzania, intento 1  Peor marca: 8030629.0 en Torneo de Cambodia, intento 1
Deportista: deportista_556, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Latvia, intento 2  Peor marca: 606.0 en Torneo de Burundi, intento 2
Deportista: deportista_606, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de Barbados, intento 6  Peor marca: 1814.0 en Torneo de Kazakhstan, intento 10
Deportista: deportista_785, Especialidad: lanzamiento de jabalina,   Mejor marca: 9967.0 en Torneo de Austria, intento 9  Peor marca: 9062.0 en Torneo de Gambia, intento 2
Deportista: deportista_37, Especialidad: carrera 100 m,   Mejor marca: 9763.0 en Torneo de Kuwait, intento 1  Peor marca: 10735.0 en Torneo de Brunei, intento 1
Deportista: deportista_790, Especialidad: lanzamiento de jabalina,   Mejor marca: 9966.0 en Torneo de Portugal, intento 8  Peor marca: 9062.0 en Torneo de Guinea-Bissau, intento 4
Deportista: deportista_100, Especialidad: carrera 400 m,   Mejor marca: 43456.0 en Torneo de Laos, intento 1  Peor marca: 47706.0 en Torneo de Liberia, intento 1
Deportista: deportista_4, Especialidad: carrera 100 m,   Mejor marca: 9766.0 en Torneo de Liberia, intento 1  Peor marca: 10736.0 en Torneo de Gabon, intento 1
Deportista: deportista_767, Especialidad: lanzamiento de jabalina,   Mejor marca: 9963.0 en Torneo de Mexico, intento 7  Peor marca: 9066.0 en Torneo de Netherlands, intento 3
Deportista: deportista_225, Especialidad: carrera 10000 m,   Mejor marca: 1608740.0 en Torneo de Russia, intento 1  Peor marca: 1768146.0 en Torneo de Iran, intento 1
Deportista: deportista_388, Especialidad: carrera 110 m con vallas,   Mejor marca: 12099.0 en Torneo de Italy, intento 1  Peor marca: 13305.0 en Torneo de Wales, intento 1
Deportista: deportista_7, Especialidad: carrera 100 m,   Mejor marca: 9765.0 en Torneo de Palau, intento 1  Peor marca: 10736.0 en Torneo de Mali, intento 1
Deportista: deportista_693, Especialidad: lanzamiento de disco,   Mejor marca: 7903.0 en Torneo de Rwanda, intento 4  Peor marca: 7186.0 en Torneo de Cambodia, intento 6
Deportista: deportista_391, Especialidad: carrera 110 m con vallas,   Mejor marca: 12103.0 en Torneo de France, intento 1  Peor marca: 13302.0 en Torneo de Uganda, intento 1
Deportista: deportista_703, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Lithuania, intento 5  Peor marca: 7191.0 en Torneo de Iraq, intento 5
Deportista: deportista_722, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Qatar, intento 9  Peor marca: 7194.0 en Torneo de Sweden, intento 6
Deportista: deportista_218, Especialidad: carrera 5000 m,   Mejor marca: 772147.0 en Torneo de Saint Vincent and the Grenadines, intento 1  Peor marca: 848824.0 en Torneo de Azerbaijan, intento 1
Deportista: deportista_200, Especialidad: carrera 5000 m,   Mejor marca: 772270.0 en Torneo de Samoa, intento 1  Peor marca: 848915.0 en Torneo de Brunei, intento 1
Deportista: deportista_340, Especialidad: carrera 42000 m,   Mejor marca: 7301667.0 en Torneo de Turkey, intento 1  Peor marca: 8030158.0 en Torneo de Japan, intento 1
Deportista: deportista_619, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Scotland, intento 7  Peor marca: 1814.0 en Torneo de Australia, intento 3
Deportista: deportista_204, Especialidad: carrera 5000 m,   Mejor marca: 772121.0 en Torneo de Samoa, intento 1  Peor marca: 849204.0 en Torneo de Sierra Leone, intento 1
Deportista: deportista_479, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481081.0 en Torneo de Mongolia, intento 1  Peor marca: 528670.0 en Torneo de Japan, intento 1
Deportista: deportista_93, Especialidad: carrera 400 m,   Mejor marca: 43498.0 en Torneo de Kiribati, intento 1  Peor marca: 47765.0 en Torneo de Madagascar, intento 1
Deportista: deportista_261, Especialidad: carrera 10000 m,   Mejor marca: 1609056.0 en Torneo de Monaco, intento 1  Peor marca: 1768428.0 en Torneo de Uzbekistan, intento 1
Deportista: deportista_121, Especialidad: carrera 400 m,   Mejor marca: 43462.0 en Torneo de Monaco, intento 1  Peor marca: 47792.0 en Torneo de Czechia, intento 1
Deportista: deportista_709, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Sudan, intento 9  Peor marca: 7189.0 en Torneo de India, intento 3
Deportista: deportista_737, Especialidad: lanzamiento de martillo,   Mejor marca: 8988.0 en Torneo de Venezuela, intento 10  Peor marca: 8181.0 en Torneo de Denmark, intento 7
Deportista: deportista_688, Especialidad: lanzamiento de disco,   Mejor marca: 7902.0 en Torneo de Ecuador, intento 6  Peor marca: 7187.0 en Torneo de Hungary, intento 6
Deportista: deportista_78, Especialidad: carrera 200 m,   Mejor marca: 19506.0 en Torneo de Saudi Arabia, intento 1  Peor marca: 21433.0 en Torneo de Liechtenstein, intento 1
Deportista: deportista_369, Especialidad: carrera 110 m con vallas,   Mejor marca: 12119.0 en Torneo de Netherlands, intento 1  Peor marca: 13308.0 en Torneo de South Africa, intento 1
Deportista: deportista_25, Especialidad: carrera 100 m,   Mejor marca: 9760.0 en Torneo de Latvia, intento 1  Peor marca: 10732.0 en Torneo de Mexico, intento 1
Deportista: deportista_224, Especialidad: carrera 5000 m,   Mejor marca: 772409.0 en Torneo de Nepal, intento 1  Peor marca: 849204.0 en Torneo de Nicaragua, intento 1
Deportista: deportista_53, Especialidad: carrera 200 m,   Mejor marca: 19506.0 en Torneo de Algeria, intento 1  Peor marca: 21436.0 en Torneo de Albania, intento 1
Deportista: deportista_585, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Burundi, intento 9  Peor marca: 869.0 en Torneo de Gabon, intento 7
Deportista: deportista_358, Especialidad: carrera 42000 m,   Mejor marca: 7303429.0 en Torneo de Bahrain, intento 1  Peor marca: 8026434.0 en Torneo de Luxembourg, intento 1
Deportista: deportista_741, Especialidad: lanzamiento de martillo,   Mejor marca: 8987.0 en Torneo de Wales, intento 4  Peor marca: 8176.0 en Torneo de Nigeria, intento 10
Deportista: deportista_347, Especialidad: carrera 42000 m,   Mejor marca: 7308190.0 en Torneo de Mongolia, intento 1  Peor marca: 8024575.0 en Torneo de Uzbekistan, intento 1
Deportista: deportista_415, Especialidad: carrera 400 m con vallas,   Mejor marca: 46115.0 en Torneo de Mexico, intento 1  Peor marca: 50682.0 en Torneo de Chile, intento 1
Deportista: deportista_247, Especialidad: carrera 10000 m,   Mejor marca: 1608863.0 en Torneo de Philippines, intento 1  Peor marca: 1768687.0 en Torneo de Thailand, intento 1
Deportista: deportista_443, Especialidad: carrera 400 m con vallas,   Mejor marca: 46108.0 en Torneo de Haiti, intento 1  Peor marca: 50698.0 en Torneo de Botswana, intento 1
Deportista: deportista_691, Especialidad: lanzamiento de disco,   Mejor marca: 7899.0 en Torneo de Nepal, intento 8  Peor marca: 7188.0 en Torneo de Belarus, intento 10
Deportista: deportista_179, Especialidad: carrera 1500 m,   Mejor marca: 208786.0 en Torneo de Costa Rica, intento 1  Peor marca: 229632.0 en Torneo de Azerbaijan, intento 1
Deportista: deportista_214, Especialidad: carrera 10000 m,   Mejor marca: 1608036.0 en Torneo de Bhutan, intento 1  Peor marca: 1768421.0 en Torneo de Maldives, intento 1
Deportista: deportista_465, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481064.0 en Torneo de Saint Lucia, intento 1  Peor marca: 528477.0 en Torneo de Vietnam, intento 1
Deportista: deportista_5, Especialidad: carrera 100 m,   Mejor marca: 9767.0 en Torneo de Ecuador, intento 1  Peor marca: 10731.0 en Torneo de United States, intento 1
Deportista: deportista_629, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Norway, intento 2  Peor marca: 1815.0 en Torneo de Egypt, intento 2
Deportista: deportista_540, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Syria, intento 2  Peor marca: 606.0 en Torneo de Austria, intento 10
Deportista: deportista_775, Especialidad: lanzamiento de jabalina,   Mejor marca: 9963.0 en Torneo de Albania, intento 3  Peor marca: 9072.0 en Torneo de Burkina Faso, intento 8
Deportista: deportista_771, Especialidad: lanzamiento de jabalina,   Mejor marca: 9940.0 en Torneo de Morocco, intento 8  Peor marca: 9087.0 en Torneo de Jamaica, intento 1
Deportista: deportista_467, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481044.0 en Torneo de Honduras, intento 1  Peor marca: 529121.0 en Torneo de Costa Rica, intento 1
Deportista: deportista_799, Especialidad: lanzamiento de jabalina,   Mejor marca: 9959.0 en Torneo de Marshall Islands, intento 9  Peor marca: 9061.0 en Torneo de Scotland, intento 2
Deportista: deportista_26, Especialidad: carrera 100 m,   Mejor marca: 9765.0 en Torneo de Algeria, intento 1  Peor marca: 10732.0 en Torneo de Syria, intento 1
Deportista: deportista_20, Especialidad: carrera 100 m,   Mejor marca: 9770.0 en Torneo de Denmark, intento 1  Peor marca: 10733.0 en Torneo de Eritrea, intento 1
Deportista: deportista_743, Especialidad: lanzamiento de martillo,   Mejor marca: 8991.0 en Torneo de Eritrea, intento 2  Peor marca: 8174.0 en Torneo de Nepal, intento 8
Deportista: deportista_661, Especialidad: lanzamiento de bala,   Mejor marca: 2519.0 en Torneo de Zimbabwe, intento 2  Peor marca: 2291.0 en Torneo de Russia, intento 7
Deportista: deportista_243, Especialidad: carrera 5000 m,   Mejor marca: 772375.0 en Torneo de Djibouti, intento 1  Peor marca: 849135.0 en Torneo de Czechia, intento 1
Deportista: deportista_270, Especialidad: carrera 21000 m,   Mejor marca: 3484446.0 en Torneo de Saint Lucia, intento 1  Peor marca: 3826906.0 en Torneo de Sweden, intento 1
Deportista: deportista_13, Especialidad: carrera 100 m,   Mejor marca: 9762.0 en Torneo de Niger, intento 1  Peor marca: 10733.0 en Torneo de Libya, intento 1
Deportista: deportista_580, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de San Marino, intento 7  Peor marca: 1814.0 en Torneo de Iraq, intento 3
Deportista: deportista_681, Especialidad: lanzamiento de bala,   Mejor marca: 2520.0 en Torneo de Philippines, intento 10  Peor marca: 2291.0 en Torneo de Japan, intento 5
Deportista: deportista_590, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Saint Kitts and Nevis, intento 2  Peor marca: 869.0 en Torneo de Saint Vincent and the Grenadines, intento 1
Deportista: deportista_657, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Mali, intento 6  Peor marca: 2291.0 en Torneo de Vanuatu, intento 5
Deportista: deportista_649, Especialidad: lanzamiento de bala,   Mejor marca: 2520.0 en Torneo de French Guiana, intento 4  Peor marca: 2293.0 en Torneo de Mauritania, intento 3
Deportista: deportista_397, Especialidad: carrera 110 m con vallas,   Mejor marca: 12105.0 en Torneo de Germany, intento 1  Peor marca: 13295.0 en Torneo de Saint Lucia, intento 1
Deportista: deportista_559, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Venezuela, intento 2  Peor marca: 606.0 en Torneo de Denmark, intento 10
Deportista: deportista_428, Especialidad: carrera 400 m con vallas,   Mejor marca: 46118.0 en Torneo de Papua New Guinea, intento 1  Peor marca: 50693.0 en Torneo de Ethiopia, intento 1
Deportista: deportista_522, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Turkey, intento 5  Peor marca: 237.0 en Torneo de Benin, intento 4
Deportista: deportista_109, Especialidad: carrera 400 m,   Mejor marca: 43450.0 en Torneo de Lithuania, intento 1  Peor marca: 47792.0 en Torneo de Serbia, intento 1
Deportista: deportista_209, Especialidad: carrera 5000 m,   Mejor marca: 772176.0 en Torneo de Kyrgyzstan, intento 1  Peor marca: 848785.0 en Torneo de Puerto Rico, intento 1
Deportista: deportista_230, Especialidad: carrera 10000 m,   Mejor marca: 1608234.0 en Torneo de Dominican Republic, intento 1  Peor marca: 1767171.0 en Torneo de Vietnam, intento 1
Deportista: deportista_17, Especialidad: carrera 200 m,   Mejor marca: 19500.0 en Torneo de South Sudan, intento 1  Peor marca: 21448.0 en Torneo de Yemen, intento 1
Deportista: deportista_170, Especialidad: carrera 1500 m,   Mejor marca: 208784.0 en Torneo de Dominican Republic, intento 1  Peor marca: 229586.0 en Torneo de Guatemala, intento 1
Deportista: deportista_426, Especialidad: carrera 400 m con vallas,   Mejor marca: 46092.0 en Torneo de France, intento 1  Peor marca: 50674.0 en Torneo de Iraq, intento 1
Deportista: deportista_640, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de Luxembourg, intento 4  Peor marca: 1815.0 en Torneo de Niger, intento 9
Deportista: deportista_634, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Maldives, intento 3  Peor marca: 1814.0 en Torneo de Saint Lucia, intento 9
Deportista: deportista_480, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481076.0 en Torneo de Chad, intento 1  Peor marca: 528811.0 en Torneo de Mexico, intento 1
Deportista: deportista_304, Especialidad: carrera 21000 m,   Mejor marca: 3482843.0 en Torneo de Vatican City, intento 1  Peor marca: 3828074.0 en Torneo de Northern Ireland, intento 1
Deportista: deportista_269, Especialidad: carrera 21000 m,   Mejor marca: 3482665.0 en Torneo de Ghana, intento 1  Peor marca: 3827938.0 en Torneo de Myanmar, intento 1
Deportista: deportista_800, Especialidad: lanzamiento de jabalina,   Mejor marca: 9968.0 en Torneo de Palau, intento 3  Peor marca: 9061.0 en Torneo de Albania, intento 6
Deportista: deportista_223, Especialidad: carrera 5000 m,   Mejor marca: 772521.0 en Torneo de Iceland, intento 1  Peor marca: 849028.0 en Torneo de Colombia, intento 1
Deportista: deportista_21, Especialidad: carrera 200 m,   Mejor marca: 19509.0 en Torneo de Kuwait, intento 1  Peor marca: 21440.0 en Torneo de Italy, intento 1
Deportista: deportista_485, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Marshall Islands, intento 3  Peor marca: 237.0 en Torneo de Argentina, intento 3
Deportista: deportista_42, Especialidad: carrera 200 m,   Mejor marca: 19508.0 en Torneo de Oman, intento 1  Peor marca: 21449.0 en Torneo de Austria, intento 1
Deportista: deportista_205, Especialidad: carrera 5000 m,   Mejor marca: 772111.0 en Torneo de Bangladesh, intento 1  Peor marca: 849153.0 en Torneo de Azerbaijan, intento 1
Deportista: deportista_395, Especialidad: carrera 110 m con vallas,   Mejor marca: 12100.0 en Torneo de Saudi Arabia, intento 1  Peor marca: 13307.0 en Torneo de Venezuela, intento 1
Deportista: deportista_795, Especialidad: lanzamiento de jabalina,   Mejor marca: 9956.0 en Torneo de Slovakia, intento 8  Peor marca: 9067.0 en Torneo de Guinea-Bissau, intento 7
Deportista: deportista_486, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Scotland, intento 4  Peor marca: 237.0 en Torneo de Albania, intento 7
Deportista: deportista_256, Especialidad: carrera 10000 m,   Mejor marca: 1608151.0 en Torneo de Paraguay, intento 1  Peor marca: 1767096.0 en Torneo de Serbia, intento 1
Deportista: deportista_318, Especialidad: carrera 42000 m,   Mejor marca: 7303454.0 en Torneo de Paraguay, intento 1  Peor marca: 8026066.0 en Torneo de Cyprus, intento 1
