"nombre","especialidad","mejor_marca","peor_marca"
"Martin WIERIG","lanzamiento de disco","7899","7187"
"Rose Mary ALMANZA","carrera 800 m","101933","111967"
"Gete ALEMAYEHU","carrera 10000 m","1608532","1768260"
"Luis Enrique ZAYAS","salto de altura","261","237"
"Yohan BLAKE","carrera 100 m","9761","10733"
"Sifan HASSAN","carrera 21000 m","3482679","3826790"
"Samuel TEFERA","carrera 1500 m","208888","229634"
"Daniel ROBERTS","carrera 110 m con vallas","12105","13283"
"Janeek BROWN","carrera 200 m","19505","21442"
"Ariana INCE","lanzamiento de jabalina","9967","9064"
"Phyllis FRANCIS","carrera 400 m","43450","47792"
"Andrew BAYER","carrera 3000 m con vallas","481036","529061"
"Natalya PRYSHCHEPA","carrera 800 m","101893","111904"
"Azmera ABREHA","carrera 42000 m","7311781","8029944"
"Degitu AZIMERAW","carrera 21000 m","3482276","3825488"
"Kinde ATANAW","carrera 42000 m","7301386","8025039"
"Abdelmalik LAHOULOU","carrera 400 m con vallas","46099","50702"
"Hamish KERR","salto de altura","261","237"
"Senbere TEFERI","carrera 21000 m","3481418","3828714"
"Payton OTTERDAHL","lanzamiento de bala","2520","2291"
"Stanley Waithaka MBURU","carrera 5000 m","772521","849028"
"Agnes Jebet TIROP","carrera 10000 m","1608740","1768146"
"Winfred Mutile YAVI","carrera 3000 m con vallas","481479","528814"
"Yuliya LEVCHENKO","salto de altura","261","237"
"Jennifer SUHR","salto con pertiga","667","606"
"Portious WARREN","lanzamiento de bala","2521","2291"
"Serghei MARGHIEV","lanzamiento de martillo","8991","8175"
"Brooke ANDERSEN","lanzamiento de martillo","8990","8177"
"Mekides ABEBE","carrera 3000 m con vallas","481379","529087"
"Freddie CRITTENDEN","carrera 110 m con vallas","12105","13287"
"Thomas RÖHLER","lanzamiento de jabalina","9967","9063"
"Konstanze KLOSTERHALFEN","carrera 5000 m","772460","849050"
"Mutaz Essa BARSHIM","salto de altura","261","237"
"Paweł WOJCIECHOWSKI","salto con pertiga","667","606"
"Oliver HELANDER","lanzamiento de jabalina","9956","9067"
"Joan Chelimo MELLY","carrera 21000 m","3482666","3824795"
"Mosinet GEREMEW","carrera 42000 m","7308190","8024575"
"Sally PEARSON","carrera 110 m con vallas","12100","13305"
"Amel TUKA","carrera 800 m","101946","112071"
"Yaoguang ZHANG","salto largo","956","869"
"Olha SALADUKHA","salto triple","1996","1814"
"Christian TAYLOR","salto triple","1994","1815"
"Susan KRUMINS","carrera 10000 m","1609056","1768428"
"Sokwakhana ZAZINI","carrera 400 m con vallas","46121","50623"
"Gudaf TSEGAY","carrera 1500 m","208792","229566"
"Valeriy PRONKIN","lanzamiento de martillo","8991","8174"
"Philemon RONO","carrera 42000 m","7304007","8027625"
"Milan TRAJKOVIC","carrera 110 m con vallas","12106","13301"
"Shelly-Ann FRASER-PRYCE","carrera 100 m","9764","10735"
"Rai BENJAMIN","carrera 400 m con vallas","46107","50610"
"Chloe ABBOTT","carrera 400 m","43484","47790"
"Nelson ÉVORA","salto triple","1996","1814"
"Valary JEMELI","carrera 21000 m","3482183","3827475"
"Changzhou HUANG","salto largo","956","870"
"Yemaneberhan CRIPPA","carrera 10000 m","1609113","1768515"
"Hyvin KIYENG","carrera 3000 m con vallas","481179","528800"
"Carina HORN","carrera 100 m","9764","10733"
"Andre DE GRASSE","carrera 200 m","19508","21450"
"Jacob KROP","carrera 5000 m","772722","848625"
"Blessing OKAGBARE","carrera 100 m","9760","10736"
"Sara Slott PETERSEN","carrera 400 m con vallas","46122","50701"
"Xinglong GAO","salto largo","956","869"
"Daniela STANCIU","salto de altura","261","237"
"Darya NIDBAYKINA","salto triple","1996","1814"
"Noah LYLES","carrera 100 m","9760","10736"
"Adam GEMILI","carrera 200 m","19509","21406"
"Dalilah MUHAMMAD","carrera 400 m con vallas","46135","50646"
"Birhanu LEGESE","carrera 42000 m","7303206","8023472"
"Shannon OSIKA","carrera 1500 m","208852","229623"
"Ayomide FOLORUNSO","carrera 400 m con vallas","46199","50696"
"Caster SEMENYA","carrera 800 m","102076","112072"
"Francine NIYONSABA","carrera 800 m","101892","112075"
"Rabii DOUKKANA","carrera 1500 m","208801","229628"
"Jeron ROBINSON","salto de altura","261","237"
"Zachery BRADFORD","salto con pertiga","667","606"
"Armin SINANČEVIĆ","lanzamiento de bala","2520","2292"
"Marie-Josée TA LOU","carrera 200 m","19501","21420"
"Cambrea STURGIS","carrera 200 m","19506","21436"
"Jonathan KITILIT","carrera 800 m","101929","112052"
"Erika KINSEY","salto de altura","261","237"
"Marie-Laurence JUNGFLEISCH","salto de altura","261","237"
"Christina SCHWANITZ","lanzamiento de bala","2520","2291"
"Dimitriana SURDU","lanzamiento de bala","2521","2291"
"Sisay LEMMA","carrera 42000 m","7309275","8023521"
"Roberto SKYERS","carrera 100 m","9766","10726"
"Yaimé PÉREZ","lanzamiento de disco","7899","7189"
"Birhanu BALEW","carrera 5000 m","772110","849170"
"Dibabe KUMA","carrera 21000 m","3481578","3825513"
"Rushell CLAYTON","carrera 400 m con vallas","46118","50693"
"Brittany CREW","lanzamiento de bala","2521","2291"
"Beatrice CHEPKOECH","carrera 5000 m","772231","848797"
"Eilish MCCOLGAN","carrera 1500 m","208821","229632"
"Lijiao GONG","lanzamiento de bala","2521","2291"
"Abadi HADIS","carrera 10000 m","1608999","1767320"
"Charlie DAVALL GRICE","carrera 1500 m","208780","229577"
"Dani STEVENS","lanzamiento de disco","7905","7188"
"Tsehay GEMECHU","carrera 5000 m","772342","849076"
"Antti RUUSKANEN","lanzamiento de jabalina","9966","9069"
"Abebe Negewo DEGEFA","carrera 42000 m","7311718","8030767"
"Magnus KIRT","lanzamiento de jabalina","9958","9065"
"Marcel LOMNICKÝ","lanzamiento de martillo","8989","8174"
"Michael RODGERS","carrera 100 m","9760","10733"
"Marielle HALL","carrera 10000 m","1608971","1766456"
"Denia CABALLERO","lanzamiento de disco","7900","7187"
"Valarie ALLMAN","lanzamiento de disco","7905","7190"
"Caroline Chepkoech KIPKIRUI","carrera 21000 m","3481586","3825784"
"Julius YEGO","lanzamiento de jabalina","9968","9062"
"Zurian HECHAVARRÍA","carrera 400 m con vallas","46103","50685"
"Orlando BENNETT","carrera 110 m con vallas","12099","13307"
"Michaela MEIJER","salto con pertiga","667","606"
"Sarah MCDONALD","carrera 1500 m","208794","229428"
"Maria ANDREJCZYK","lanzamiento de jabalina","9967","9062"
"Briana WILLIAMS","carrera 100 m","9762","10736"
"Omar MCLEOD","carrera 110 m con vallas","12099","13307"
"Nafissatou THIAM","salto de altura","261","237"
"Jackline WAMBUI","carrera 800 m","101926","112071"
"​Demish GAYE","carrera 400 m","43500","47724"
"Soufiane EL BAKKALI","carrera 3000 m con vallas","481711","529036"
"Dmitriy SOROKIN","salto triple","1996","1815"
"Apostolos PARELLIS","lanzamiento de disco","7898","7188"
"Sam KENDRICKS","salto con pertiga","667","606"
"Abadi HADIS","carrera 21000 m","3481565","3828537"
"Fantu WORKU","carrera 5000 m","772328","849255"
"Jeneva STEVENS","lanzamiento de bala","2521","2291"
"Julien WANDERS","carrera 10000 m","1608920","1767881"
"Justyna ŚWIĘTY-ERSETIC","carrera 400 m","43454","47768"
"Andrew POZZI","carrera 110 m con vallas","12104","13306"
"Getnet WALE","carrera 3000 m con vallas","481590","528948"
"Shara PROCTOR","salto largo","956","869"
"Anita MÁRTON","lanzamiento de bala","2521","2291"
"Gesa Felicitas KRAUSE","carrera 3000 m con vallas","481492","528951"
"Anastasia LE-ROY","carrera 400 m","43462","47792"
"Tonea MARSHALL","carrera 110 m con vallas","12100","13286"
"Luvo MANYONGA","salto largo","956","869"
"Sean DONNELLY","lanzamiento de martillo","8988","8179"
"Edwin KIPTOO","carrera 21000 m","3484115","3827304"
"Zeineba YIMER","carrera 42000 m","7301146","8030030"
"Iryna GERASHCHENKO","salto de altura","261","237"
"Michael SARUNI","carrera 800 m","101921","111973"
"Shiying LIU","lanzamiento de jabalina","9960","9061"
"Andriy PROTSENKO","salto de altura","261","237"
"Stephanie TWELL","carrera 10000 m","1610159","1766905"
"Kenenisa BEKELE","carrera 42000 m","7309082","8026649"
"Anna RYZHYKOVA","carrera 400 m con vallas","46101","50656"
"Hellen OBIRI","carrera 10000 m","1608470","1767213"
"Orazio CREMONA","lanzamiento de bala","2520","2294"
"Ola STUNES ISENE","lanzamiento de disco","7903","7186"
"Joe KOVACS","lanzamiento de bala","2519","2291"
"Laulauga TAUSAGA","lanzamiento de disco","7904","7187"
"Sharrika BARNETT","carrera 400 m","43452","47776"
"Augusto DUTRA","salto con pertiga","667","606"
"Andrew HUDSON","carrera 200 m","19506","21433"
"Tobi AMUSAN","carrera 110 m con vallas","12099","13305"
"Vincent Kiprotich KIBET","carrera 10000 m","1609953","1767971"
"Takashi ETO","salto de altura","261","237"
"Dera DIDA","carrera 10000 m","1609982","1768566"
"Tomáš STANĚK","lanzamiento de bala","2521","2293"
"Kiara GRANT","carrera 100 m","9760","10726"
"Gabriela DEBUES-STAFFORD","carrera 1500 m","208819","229437"
"Edis MATUSEVIČIUS","lanzamiento de jabalina","9966","9067"
"Whitney ASHLEY","lanzamiento de disco","7905","7194"
"Tajay GAYLE","salto largo","955","869"
"Réka GYURÁTZ","lanzamiento de martillo","8989","8175"
"Raymond EKEVWO","carrera 100 m","9765","10735"
"Alex WILSON","carrera 200 m","19515","21422"
"Abderrahman SAMBA","carrera 400 m con vallas","46102","50676"
"Nathan STROTHER","carrera 400 m","43463","47750"
"Stewart MCSWEYN","carrera 10000 m","1608164","1768354"
"Rosemary Monica WANJIRU","carrera 10000 m","1608863","1768687"
"Danielle WILLIAMS","carrera 110 m con vallas","12100","13306"
"Paul CHELIMO","carrera 5000 m","772442","849132"
"Ababel YESHANEH","carrera 42000 m","7304941","8030474"
"Ruth CHEPNGETICH","carrera 42000 m","7308031","8028469"
"Pedro Pablo PICHARDO","salto triple","1996","1815"
"Rudy WINKLER","lanzamiento de martillo","8991","8174"
"Mesud PEZER","lanzamiento de bala","2521","2291"
"Rhonex KIPRUTO","carrera 10000 m","1608528","1768742"
"Quincy HALL","carrera 400 m","43457","47761"
"Sandra PERKOVIĆ","lanzamiento de disco","7903","7189"
"Girmawit GEBRZIHAIR","carrera 10000 m","1608151","1767096"
"Valentin LAVILLENIE","salto con pertiga","667","606"
"Beatrice CHEPKOECH","carrera 3000 m con vallas","481056","529067"
"Solomon BERIHU","carrera 21000 m","3484137","3826954"
"Piotr MAŁACHOWSKI","lanzamiento de disco","7903","7186"
"Nikola OGRODNÍKOVÁ","lanzamiento de jabalina","9960","9065"
"Kara WINGER","lanzamiento de jabalina","9966","9066"
"Eldred HENRY","lanzamiento de bala","2519","2291"
"Tynia GAITHER","carrera 100 m","9760","10735"
"Kayla WHITE","carrera 200 m","19500","21444"
"Andrea Carolina VARGAS","carrera 110 m con vallas","12105","13295"
"Serhiy REHEDA","lanzamiento de martillo","8989","8177"
"Holly BRADSHAW","salto con pertiga","667","606"
"Shunya TAKAYAMA","carrera 110 m con vallas","12102","13308"
"Yaroslava MAHUCHIKH","salto de altura","261","237"
"Bob BERTEMES","lanzamiento de bala","2521","2292"
"Timothy CHERUIYOT","carrera 800 m","101989","111995"
"Hellen OBIRI","carrera 5000 m","772409","849204"
"Jessica RAMSEY","lanzamiento de bala","2519","2292"
"Justin GATLIN","carrera 100 m","9766","10736"
"Manqi GE","carrera 100 m","9761","10736"
"Ronald MUSAGALA","carrera 1500 m","208813","229579"
"Jemal Yimer MEKONNEN","carrera 10000 m","1610950","1768818"
"Tsigie GEBRESELAMA","carrera 10000 m","1608952","1768723"
"Roza DEREJE","carrera 42000 m","7304491","8029156"
"Wilhem BELOCIAN","carrera 110 m con vallas","12112","13302"
"Tia-Adana BELLE","carrera 400 m con vallas","46202","50660"
"Tori FRANKLIN","salto triple","1995","1814"
"Kendall ELLIS","carrera 400 m","43454","47793"
"Bethwell BIRGEN","carrera 1500 m","208797","229496"
"Ashete BEKERE","carrera 42000 m","7304332","8027313"
"Eva CHERONO","carrera 5000 m","772275","848796"
"Thiago BRAZ","salto con pertiga","667","606"
"Traves SMIKLE","lanzamiento de disco","7899","7188"
"Laura IGAUNE","lanzamiento de martillo","8990","8175"
"David KENDZIERA","carrera 400 m con vallas","46118","50690"
"Abubaker Haydar ABDALLA","carrera 800 m","101895","112075"
"Josh KERR","carrera 1500 m","208786","229632"
"Hagos GEBRHIWET","carrera 10000 m","1608136","1767755"
"Jemal Yimer MEKONNEN","carrera 21000 m","3484446","3826906"
"Christin HUSSONG","lanzamiento de jabalina","9966","9065"
"Martina RATEJ","lanzamiento de jabalina","9968","9067"
"Julian WEBER","lanzamiento de jabalina","9968","9061"
"Miguel FRANCIS","carrera 200 m","19507","21438"
"Aaron BROWN","carrera 100 m","9764","10726"
"Kenneth BEDNAREK","carrera 400 m","43496","47784"
"Zhenye XIE","carrera 200 m","19502","21430"
"Anna Emilie MØLLER","carrera 3000 m con vallas","481045","528968"
"Yaoqing FANG","salto triple","1996","1816"
"Jonathan JONES","lanzamiento de bala","2521","2293"
"Sifan HASSAN","carrera 1500 m","208771","229521"
"Molly HUDDLE","carrera 10000 m","1608385","1768204"
"Alexandra TAVERNIER","lanzamiento de martillo","8990","8179"
"Courtney OKOLO","carrera 400 m","43451","47791"
"Aaron BROWN","carrera 200 m","19503","21448"
"Nijel AMOS","carrera 800 m","101977","112036"
"Christina CLEMONS","carrera 110 m con vallas","12103","13302"
"Trevor STEWART","carrera 400 m","43458","47783"
"Karyna DEMIDIK","salto de altura","261","237"
"Dorcas Jepchirchir TUITOEK","carrera 21000 m","3483042","3827062"
"Benjamin WILLIAMS","salto triple","1996","1815"
"Sifan HASSAN","carrera 5000 m","772098","849167"
"Andrew IRWIN","salto con pertiga","667","606"
"Cravon GILLESPIE","carrera 200 m","19517","21438"
"Caterine IBARGUEN","salto largo","956","869"
"Lilian Kasait RENGERUK","carrera 5000 m","773421","849044"
"Janeah STEWART","lanzamiento de martillo","8992","8179"
"Bin FENG","lanzamiento de disco","7905","7191"
"Eda TUĞSUZ","lanzamiento de jabalina","9965","9071"
"Antonio ALKANA","carrera 110 m con vallas","12099","13307"
"Yaming ZHU","salto triple","1996","1815"
"Alemu MEGERTU","carrera 21000 m","3482593","3826947"
"Filip INGEBRIGTSEN","carrera 1500 m","208778","229448"
"Barnabas KIPYEGO","carrera 3000 m con vallas","481256","529130"
"Andamlak BELIHU","carrera 21000 m","3482665","3827938"
"Iryna KLYMETS","lanzamiento de martillo","8992","8185"
"Teahna DANIELS","carrera 100 m","9793","10722"
"Maruša MIŠMAŠ","carrera 3000 m con vallas","481151","529081"
"Cravon GILLESPIE","carrera 100 m","9769","10731"
"Olivia GRUVER","salto con pertiga","667","606"
"Michael NORMAN","carrera 200 m","19521","21448"
"Marcio TELES","carrera 400 m con vallas","46151","50693"
"Mujinga KAMBUNDJI","carrera 200 m","19515","21448"
"Django LOVETT","salto de altura","261","237"
"Zheng WANG","lanzamiento de martillo","8988","8178"
"Wenjun XIE","carrera 110 m con vallas","12098","13308"
"Juan Miguel ECHEVARRÍA","salto largo","956","869"
"Shivpal SINGH","lanzamiento de jabalina","9967","9063"
"Jakub VADLEJCH","lanzamiento de jabalina","9967","9062"
"Mario BURKE","carrera 100 m","9760","10733"
"Yanis Esmeralda DAVID","salto triple","1996","1815"
"Lukas WEISSHAIDINGER","lanzamiento de disco","7894","7188"
"ShaCarri RICHARDSON","carrera 200 m","19501","21423"
"Donavan BRAZIER","carrera 800 m","101977","112075"
"Tihomir IVANOV","salto de altura","261","237"
"Emmanuel Kipkurui KORIR","carrera 800 m","101910","112026"
"Shelby HOULIHAN","carrera 1500 m","208773","229598"
"Nicholas Kiptanui BETT","carrera 3000 m con vallas","481261","528928"
"Miltiadis TENTOGLOU","salto largo","956","869"
"Shura KITATA","carrera 42000 m","7307905","8024238"
"Thea LAFOND","salto triple","1996","1814"
"Dharun AYYASAMY","carrera 400 m con vallas","46102","50696"
"Jordan GEIST","lanzamiento de bala","2521","2291"
"Dalilah MUHAMMAD","carrera 400 m","43467","47786"
"Ciara MAGEEAN","carrera 1500 m","209043","229635"
"Mohamed TINDOUFT","carrera 3000 m con vallas","481061","528938"
"Michelle CARTER","lanzamiento de bala","2521","2291"
"David WROBEL","lanzamiento de disco","7905","7191"
"Maykel MASSÓ","salto largo","956","869"
"Andressa DE MORAIS","lanzamiento de disco","7895","7186"
"Cassandra TATE","carrera 400 m con vallas","46113","50675"
"Fikadu HAFTU","carrera 21000 m","3481489","3828843"
"Nick MILLER","lanzamiento de martillo","8992","8177"
"Mariya LASITSKENE","salto de altura","261","237"
"ShaCarri RICHARDSON","carrera 100 m","9760","10732"
"Diana ZAGAINOVA","salto triple","1996","1816"
"Mercy CHEPKURUI","carrera 3000 m con vallas","481081","528670"
"Divine ODUDURU","carrera 200 m","19503","21449"
"Yomif KEJELCHA","carrera 21000 m","3481810","3828454"
"Christoph HARTING","lanzamiento de disco","7905","7187"
"Axumawit EMBAYE","carrera 1500 m","208867","229647"
"Yalemzerf YEHUALAW","carrera 21000 m","3482942","3827260"
"Arthur CISSÉ","carrera 100 m","9760","10735"
"Abigail IROZURU","salto largo","955","869"
"Kayla WHITE","carrera 100 m","9765","10732"
"Wadeline JONATHAS","carrera 400 m","43458","47795"
"Beatrice CHEBET","carrera 5000 m","772188","849057"
"Nicola MCDERMOTT","salto de altura","261","237"
"Yelena PANOVA","lanzamiento de disco","7904","7186"
"Galefele MOROKO","carrera 400 m","43452","47776"
"Alexie ALAÏS","lanzamiento de jabalina","9965","9063"
"Shadae LAWRENCE","lanzamiento de disco","7905","7191"
"Kibiwott KANDIE","carrera 21000 m","3485317","3828626"
